shipment_id,origin_street_address,origin_city,origin_state,origin_postal_code,origin_country,destination_street_address,destination_city,destination_state,destination_postal_code,destination_country,scheduled_pickup_date,actual_pickup_date,expected_delivery_date,actual_delivery_date,is_delayed,delay_duration_days,delay_causes,primary_delay_cause,carrier_name,shipment_weight_kg,shipment_volume_m3,shipment_type,route_id,vehicle_type
SHP00001,1423 Maple Ave,Chicago,IL,60616,USA,218 Oak Street,Dallas,TX,75201,USA,2023-01-15,2023-01-15,2023-01-18,2023-01-18,false,0,,,FastTrack Logistics,18.2,0.13,parcel,RT101,truck
SHP00002,60 Rue de Rivoli,Paris,Île-de-France,75001,France,90 Wilhelmstrasse,Berlin,Berlin,10117,Germany,2023-02-10,2023-02-11,2023-02-18,2023-02-22,true,4,"customs,weather",customs,EuroWay Freight,4230,14.2,container,EU209,rail
SHP00003,80 Market Street,San Francisco,CA,94105,USA,4400 W 45th Ave,Denver,CO,80212,USA,2023-03-18,2023-03-19,2023-03-22,2023-03-22,false,0,,,Summit Express,26.4,0.21,parcel,RT112,van
SHP00004,190 Bay Street,Toronto,ON,M5J2T6,Canada,2400 Rue Sherbrooke,Montreal,QC,H3H1G9,Canada,2023-04-01,2023-04-02,2023-04-04,2023-04-04,false,0,,,MapleLeaf Transport,168.2,1.17,pallet,CA042,truck
SHP00005,101 Elizabeth St,Sydney,NSW,2000,Australia,33 Collins St,Melbourne,VIC,3000,Australia,2023-02-25,2023-02-25,2023-02-28,2023-03-01,true,1,"traffic,staffing",traffic,DownUnder Logistics,117.8,0.98,pallet,AU302,van
SHP00006,2400 Main Street,Los Angeles,CA,90007,USA,7890 Broadway,Seattle,WA,98101,USA,2023-03-05,2023-03-05,2023-03-09,2023-03-11,true,2,"weather,traffic",weather,Pacific Haulage,52.7,0.41,pallet,RT234,truck
SHP00007,21 Changi Ave,Singapore,Central,486041,Singapore,9 Jalan Raja,Kuala Lumpur,WP Kuala Lumpur,50450,Malaysia,2023-04-07,2023-04-08,2023-04-16,2023-04-20,true,4,"customs,staffing",customs,Straits Freight,3870.5,12.8,container,SEA15,rail
SHP00008,10 Baker Street,London,Greater London,NW1 6XE,UK,5 O'Connell St,Dublin,Leinster,D01T2A4,Ireland,2023-03-29,2023-03-30,2023-04-03,2023-04-03,false,0,,,TransAtlantic Express,0.02,0.0009,document,UKIE9,air
SHP00009,1100 S Miami Ave,Miami,FL,33130,USA,3500 Ocean Dr,West Palm Beach,FL,33401,USA,2023-04-11,2023-04-11,2023-04-12,2023-04-12,false,0,,,RapidHaul USA,9.9,0.09,parcel,RT309,van
SHP00010,45 Hafenstrasse,Hamburg,Hamburg,20457,Germany,122 Rue de Lyon,Marseille,Provence,13002,France,2023-03-05,2023-03-07,2023-03-19,2023-03-23,true,4,"staffing,weather",staffing,RhineDelta Shipping,11005.8,33.4,container,EU304,ship
SHP00011,3200 King Street,Seattle,WA,98101,USA,6800 E 4th Ave,Spokane,WA,99202,USA,2023-05-01,2023-05-01,2023-05-03,2023-05-03,false,0,,,Evergreen Express,42.6,0.19,parcel,RT128,truck
SHP00012,15 Avenida del Sol,Lima,Lima Province,15001,Peru,2200 Calle Bolivia,La Paz,La Paz,1000,Bolivia,2023-06-12,2023-06-12,2023-06-19,2023-06-22,true,3,"weather,staffing",weather,Andes Mountain Cargo,97.1,0.78,other,AND21,other
SHP00013,9900 S Ocean Dr,Fort Pierce,FL,34957,USA,7000 Atlantic Blvd,Jacksonville,FL,32208,USA,2023-07-02,2023-07-02,2023-07-04,2023-07-05,true,1,traffic,traffic,Sunshine State Haul,8.8,0.08,parcel,RT255,van
SHP00014,39 Rue du Rhône,Geneva,Geneva,1204,Switzerland,10 Avenue des Champs,Lyon,Auvergne-Rhône-Alpes,69002,France,2023-06-20,2023-06-21,2023-06-26,2023-06-26,false,0,,,Alpine Carriers,0.03,0.0005,document,CHFR03,van
SHP00015,33 W 4th St,New York,NY,10003,USA,200 Park Ave,New York,NY,10166,USA,2023-08-22,2023-08-22,2023-08-23,2023-08-23,false,0,,,Metro Delivery,0.01,0.0003,document,RT150,van
